Transaction Amount,Source account age,Target account age,Transaction Time,Location Consistency,Device Consistency,Number of Previous Transactions,Label
311.15310682390185,54,13,0.7089041197497288,0.6944424245942427,0.6735399368669484,17,0
1217.6652709151783,51,1,15.796799408547699,0.7954162160981806,0.29822864458082177,26,0
210.08541964248207,45,29,8.071200304028837,0.6217760485322973,1.0,16,1
294.43168029537975,52,43,15.186857942601222,0.5267523545371108,0.6091339926411787,20,0
105.60799849161721,58,29,4.380052656262822,0.8882714465467433,1.0,25,0
123.51405295023024,52,17,4.495989937786614,0.868146579506291,0.9762495110686902,18,0
329.5664223514171,42,34,13.4849836393499,1.0,0.9275220451954795,18,0
54.82435623086624,44,28,10.26260385024669,1.0,0.4731164980592819,23,1
245.35040453928764,48,36,4.40026093903367,0.5906368585000431,0.44115792053331554,23,0
158.59664374039056,39,35,19.132078977138416,0.8116146424523738,0.466719110502256,26,0
149.67753583675156,59,25,6.041934774266035,0.8514996225928778,0.8402983748018792,27,0
151.2046505595355,53,41,14.145271382430435,0.7012902555863973,0.323539456684355,18,0
232.22765856747773,42,25,10.407989927796164,0.6879515734313141,0.45924812014907124,21,0
796.0772838202167,36,22,10.784400735912012,1.0,0.956685548214556,6,1
1136.4803897152315,51,14,13.362704383319,1.0,1.0,27,0
53.0470098347119,37,32,7.070860039715919,0.5520229705925745,0.4342318910623221,24,0
281.9798911894026,57,17,16.320137133241737,0.7435714236595675,0.4177857985982034,24,0
757.8822097747529,49,44,7.419495255815496,0.7941043431172861,0.38120579134561405,34,0
226.87837826392916,35,28,10.66895319195867,0.5470444608215195,0.5538965121049286,18,0
859.0260216511754,57,34,10.611173734351018,1.0,0.5260893817290231,31,0
216.8054846401613,50,21,15.38954547970867,0.7731375181181455,0.14056013989970406,26,0
137.83141787156288,49,44,14.783859106410095,0.5441672310228317,0.9716965829118995,13,0
205.59044514777955,47,30,12.859017472368087,0.8476125634791359,0.9547682083805605,22,0
272.2362700285176,51,25,13.959500610720209,1.0,0.7213156860613809,17,1
834.358086284688,55,51,13.756642172819436,1.0,1.0,15,0
1091.5012536375095,63,63,13.297442193498082,1.0,0.9010870259286691,24,0
218.67990911130087,44,48,13.515691924257348,0.9418141018419605,1.0,12,0
812.1086428850108,60,53,12.319186050459157,0.8247265321474785,0.8789979342563115,18,0
241.14452882429808,36,25,7.141504465544633,0.7302776217963316,0.6845943883921232,18,0
161.9287294452348,39,65,22.24565077517704,0.797011010072099,1.0,27,0
103.40806354698837,49,39,11.584315177050398,0.7774375131398619,1.0,22,0
864.5106926607816,37,43,15.056239199002867,0.7806157084807955,1.0,24,0
686.7762673425153,13,17,14.657411620637347,0.39656239265916643,0.9221144205714755,0,1
1084.6022993567803,36,44,17.15249820842283,0.3985633904714312,0.8150795545893635,14,0
220.0203488512364,55,26,9.466484026517364,0.7603502365194383,0.4958312085419664,19,0
266.99409599417606,45,13,14.20865498871988,0.8296061058717609,0.790021138092097,27,1
296.7044427673097,50,19,20.370304093091317,0.994870336859628,0.6422719607316288,24,0
242.82455675234084,33,50,19.502797757177998,1.0,1.0,23,0
1266.8350220788823,46,12,11.464683525472402,0.809841588953806,0.9044937467635822,22,0
821.3912935155984,72,41,14.768681923813775,0.9862132939401732,0.8255444754493682,24,0
126.46055747372779,42,28,16.29740482655284,0.720236071472224,0.6803752244906736,21,0
186.23714228152843,42,64,2.7183416373529177,1.0,0.9981304903585431,23,0
765.9238502546347,48,42,26.711807159039623,0.4523289654883588,0.6304111917957655,19,0
897.0278908695865,64,51,10.424539774953018,0.9613388552276523,0.6019816854522041,17,0
881.4814173861332,75,38,16.38451119162314,0.6250180057165788,0.9937511938017007,17,0
1074.970607253641,73,13,21.38521288971536,0.7769156048182886,1.0,23,0
996.4443208335705,61,54,19.14526822469034,1.0,1.0,9,0
1144.7871712414333,67,14,14.67393375627916,1.0,0.7800808896073985,32,0
376.6824023310986,42,44,17.50410766797821,0.815887150305089,1.0,24,0
232.40121958690946,39,32,22.161743868607495,0.6383953360410365,0.3523639390942182,23,0
348.62075301689026,50,16,20.884823114875765,0.7360391938554599,0.3838337333056622,22,0
161.26409363367463,54,24,6.714352850760546,0.7532340860218398,0.3010005067474296,15,0
